symbol,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capitalSpendingGrowth5Y,cashFlowPerShareAnnual,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShare5Y,dividendPerShareAnnual,dividendYield5Y,dividendYieldIndicatedAnnual,dividendsPerShareTTM,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareTTM,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roaRfy,roaa5Y,roae5Y,roaeTTM,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily,update_date,quickRatioAnnual,ptbvAnnual,ptbvQuarterly,tbvCagr5Y,inventoryTurnoverAnnual,inventoryTurnoverTTM,cashFlowPerShareQuarterly,peAnnual,peTTM,quickRatioQuarterly,dividendPerShareTTM,ebitdPerShareAnnual,enterpriseValue,epsAnnual,epsTTM,pcfShareAnnual,roaTTM,capexCagr5Y,priceRelativeToS&P50052Week,roa5Y,roe5Y,3MonthADReturnStd
AAPL,53.02507,17.9825,40.1465,56.3373,198.23,2023-07-19,124.17,2023-01-03,23.2349,0.6669,1.1179,1.126,1.1705155,3.1782,3.9532,-13.43,,6.9899,6.59391,3.0297,3.5534,0.4881,28.2132,32.2511,0.8794,0.9404,8.49,,0.9169,,0.49357328,0.92,7.6923,12.8,11.46,6.1132,5.8857,6.1132,5.8857,27.18,21.57,-0.01,-4.33,6.1132,5.8857,6.1132,16.57,39.9,43.31,44.26,1.9529,1.5612,3059232.5,-1.04655,0.6086,0.5751,402.1855,1124.6132,3.72,23.15,25.31,25.48,27.1,30.29,29.86,14.87,15.83,47.7092,42.0341,27.9168,32.4343,31.39763,32.4343,32.4343,30.6527,27.4511,31.38,27.44,30.2,29.93,6.5537,25.8467,-1.3676,30.3911,7.7581,7.9441,14.4808,19.8754,2.4044,2.3481,14.87,11.46,-2.51,-0.24,24.1536,24.3007,17.22,28.29,,,,196.96,165.72,39.04,58.13,54.83,5.8582,6.7915,2.3881,1.7635,48.7108,2023-07-28,0.8472,4.8643,6.4066,11.34,38.7899,33.8135,6.2003,30.6527,32.4343,0.878,0.9353,7.982,3144160.5,6.1132,5.8857,25.0447,27.58,-2.97,10.4058,21.12,110.3,16.854977
AMC,56.02282,-12.233,-18.1159,25.78051,16.8937,2022-08-08,3.77,2023-01-06,-49.1866,2.7273,0.4281,0.441,2.7766638,11.6731,11.6731,-5.64,,-1.6069,-0.65762,1.2219,0.9546,0.0,,,0.5337,0.4325,-72.43,,0.0014,,,,-0.147,,,-1.8838,-1.4023,-1.8838,-1.4023,,,,,-1.8838,-1.4023,-1.8838,,66.45,67.27,67.77,3.8987,3.8987,2346.7498,,-0.3493,-0.3128,-1.3507,-1.8172,,-89.03,-24.89,-24.68,-71.15,-8.31,-17.78,234.42,27.7,0.6193,0.6193,50.4677,9.6893,,9.6893,9.6893,21.3147,38.5345,293.3437,-88.18,-24.83,-24.48,-23.6618,-32.4157,-1.0199,-7.2632,0.6,0.5752,23.3447,38.5825,1.4034,1.464,-10.58,-5.09,21.47,28.9,7.5679,2.9696,-28.19,1.16,,,,7.88,15.48,3.45,1.61,3.7,8.6827,9.7981,3.9975,3.9975,11.0565,2023-07-28,0.4951,0.8326,0.7379,-6.3,37.8227,,-1.4214,21.3147,9.6893,0.4325,0.0,-0.4458,6791.6498,-1.8838,-1.4023,4.0531,2.23,-20.27,-62.0157,2.61,9.71,84.07627
AMD,65.49733,32.5776,58.5557,66.21268,132.83,2023-06-13,54.57,2022-10-13,23.6918,0.1352,0.3492,0.3411,1.6591599,33.964,33.9925,122.97,,1.9324,3.03993,3.6321,3.6911,0.0,56.4773,69.8399,2.3581,2.3807,,,0.0,,,,1.6057,67.05,20.03,0.8402,0.2411999999999999,0.8402,0.2411999999999999,40.26,,,-91.0,0.8402,0.2411999999999999,0.8402,,43.62,44.93,44.07,0.0451,0.0451,177284.73,-2.59854,0.0528,0.0158,2.3644,14.9294,,12.12,5.59,-2.6,10.91,5.36,-2.71,3.84,3.41,1.9074,2.8413,58.012,134.3066,132.0472,134.3066,134.3066,134.3066,56.9132,70.379,10.21,5.02,-2.37,21.1488,44.2559,-3.4082,53.2103,7.5117,7.6856,6.909,5.9782,0.944,0.9227,51.92,35.05,-9.07,22.2,15.0229,14.3184,22.18,1.95,,,,2.41,2.4,21.37,2.31,2.3,18.7779,19.5171,0.0451,0.0451,71.53,2023-07-28,1.5674,3.45,4.9487,143.04,4.54,3.8773,1.5656,134.3066,134.3066,1.605,0.0,2.1445,175926.73,0.8402,0.2411999999999999,49.7292,1.96,31.83,10.8627,13.65,25.19,51.902958
AMZN,59.64294,25.0366,31.8766,60.0937,146.57,2022-08-16,81.43,2023-01-06,6.018,-1.3462,1.1109,1.1828,1.428772,14.2592,15.064,37.87,,-1.6494,4.70953,6.8371,6.2785,,,,0.9446,0.9231,,,,,,,5.3686,62.31,22.14,-0.2672,0.4125,-0.2672,0.4125,,,,-80.05,-0.2672,0.4125,-0.2672,,41.33,43.81,46.77,0.4598,0.4341,1315890.2,-0.27616,-0.0019,0.0029,0.7167,0.6192,,4.11,-0.53,2.49,4.82,2.38,3.75,,,5.8677,6.8568,24.2203,208.1446,,208.1446,208.1446,39.4404,50.7595,83.6442,4.61,-1.15,3.23,13.6078,17.5768,-3.0086,34.3589,2.5602,2.5069,13.7703,15.0458,0.3508,0.3583,22.37,23.64,9.37,9.87,50.4449,50.7294,22.83,7.93,,,,24.13,4.33,11.37,15.85,2.73,13.6639,0.0103,0.606,0.5612,52.6786,2023-07-28,0.7232,6.1234,434.4817,41.88,8.616,8.3903,-0.8355,39.4404,208.1446,0.6915,,5.0616,1353270.2,-0.2672,0.4125,28.1462,1.4,39.71,-6.8111,5.64,19.94,30.389748
ANGI,0.70247,71.9626,30.4965,0.55229,6.31,2022-08-08,1.81,2022-11-08,-23.6515,-4.4156,0.9915,0.9497,1.8937856,2.0776,2.0655,-0.01,,-0.1769,-0.01328,0.6364,0.6472,,,,1.7183,1.8003,,,0.0,,,,0.0004,,7.82,-0.2554,-0.219,-0.2554,-0.219,,,,,-0.2554,-0.219,-0.2554,,87.46,76.84,89.29,0.4724,0.4741,1864.1665,17.87879,-0.0279,-0.024,-3.6833,-6.6705,,-0.4,-6.79,-3.91,-0.37,-6.68,-2.67,,,1.1308,1.0965,39.7782,97.6003,,97.6003,97.6003,53.568,13.7172,258.984,-1.27,-7.68,-2.98,61.5707,13.2903,1.977,37.4863,0.9855,1.0089,14.8128,19.213,0.4112,0.4017,12.56,20.76,-10.03,6.53,3.7604,3.6587,17.07,1.81,,,,2.65,1.51,-1.05482,2.23,1.05,1.7246,1.7184,0.4724,0.4741,56.5957,2023-07-28,1.6258,1.3622,1.318,5.53,,,-0.1076,53.568,97.6003,1.8003,,-0.0759,2044.6755,-0.2554,-0.219,68.8672,0.86,34.13,-40.183,-0.91672,-1.55184,63.797024
ATUS,4.36006,19.2982,-26.2473,4.61751,12.28,2022-08-08,2.01,2023-06-22,-70.1493,0.5917,0.2866,0.2884,2.8138525,3.7567,1.3339,,,0.9922,3.97568,0.6697,0.4849,0.0,58.1573,334.3891,0.6358,0.3203,,,0.0,,,,7.6892,2.57,-1.84,0.4292,0.0525,0.4292,0.0525,26.97,-27.52,-86.9,-97.35,0.4292,0.0525,0.4292,-15.73,66.5,66.77,66.36,10.1732,33.7949,1545.9438,11.25828,0.0177,0.0022,1.2034,1.3994,-33.93,3.57,2.02,1.13,19.06,18.68,18.72,7978.19,,7.3217,19.4967,0.708,3.7383,7.82797,3.7383,3.7383,7.9457,3.4156,1.8748,5.18,5.36,2.68,8.9063,-43.4535,20.1607,-45.1964,0.1602,0.1624,24.9634,27.1035,0.8771,0.8654,-0.39,0.72,-5.28,-5.12,21.284,20.8952,9.74,0.58,,,,5.84,12.89,1.38,0.75,1.62,-51.64975,-51.57825,10.2648,34.2237,-26.087,2023-07-28,0.6036,,,,,,0.1731,7.9457,3.7383,0.2406,0.0,7.9073,26323.1078,0.4292,0.0525,0.6532,1.26,14.97,-86.6808,1.07,25.87739,102.24611
BAC,59.21989,10.7836,-5.613,52.76047,38.6,2022-11-11,26.32,2023-03-24,-4.8824,-0.0938,,,1.1892724,34.1634,35.1456,5.64,,-0.7912,2.77953,28.78697,,3.3708,,32.7993,,,13.74,,1.067,,3.0046947,0.88,4.2754,1.43,-1.98,3.3704,3.6571,3.3704,3.6571,5.08,14.78,19.8,8.03,3.3704,3.6571,3.3704,,,,,0.9503,0.9744,258280.25,11.46741,0.1269,0.1372,,,4.58749,29.42913,28.9921,29.63807,33.47932,32.61611,33.15885,31.15,30.42,0.9726,0.8165,2.9085,8.6721,10.04022,8.6721,8.6721,9.3825,6.7981,2.9085,33.47932,32.61611,33.15885,-0.6452,-19.9128,8.1971,-21.8523,2.67883,2.53117,,,446823.5,,0.61805,4.73519,-5.45576,65.86554,11.62534,12.33982,7.53813,0.8999999999999999,,,,10.08,10.48,3.64,3.5700000000000003,3.52,33.9008,34.8822,1.8224,2.3328,-3.5326,2023-07-28,,0.9801,0.8227,0.64,,,3.4874,9.3825,8.6721,,1.0859,4.0339,911918.25,3.3704,3.6571,6.7981,0.92,,-17.7115,0.97,9.89,26.120407
BMBL,2.17633,5.625,-20.5556,2.46153,39.33,2022-08-08,14.735,2023-05-31,-43.2713,-2.1064,0.2447,0.3066,2.0287635,12.5434,12.5332,,,0.8985,-0.3737,3.102,2.8273,,32.1624,34.4629,2.3687,2.4982,,,,,,,0.0505,,,-0.6162,-0.7062999999999999,-0.6162,-0.7062999999999999,,,,,-0.6162,-0.7062999999999999,-0.6162,,71.84,72.4,70.95,0.3804,0.3585,3515.39,11.323,-0.0839,-0.0856,-6.116,-32.5713,,2.89,-8.83,-0.66,-6.53,-11.38,3.73,,,2.4364,2.3029,27.6863,74.4486,,74.4486,74.4486,11.3467,30.1471,32.3034,-8.55,-12.25,0.12,-4.7669,-37.7618,7.4045,-30.7959,3.8908,3.0663,15.7861,16.4354,0.9511,1.2068,22.72,,15.03,17.67,6.9811,8.6902,,8.200000000000001,,,,19.26,2.8400000000000003,,13.85,2.06,0.7967,1.5325,0.3839,0.3619,-11.6865,2023-07-28,2.3252,38.3611,18.8334,,,,0.791,11.3467,74.4486,2.4234,,-0.1368,3750.39,-0.6162,-0.7062999999999999,26.4432,1.25,,-59.8028,,,52.29392
BYD,0.7229,6.8884,23.1611,0.83828,73.0,2023-07-21,46.1,2022-09-26,32.6455,-0.4562,0.5634,0.5915,1.241165,15.4706,16.3664,9.69,,6.8759,8.73636,2.7571,2.5959,0.8748,14.1157,14.1359,0.8159,0.7723,35.04,,0.4499,,0.8888889,0.3,11.723,16.79,18.79,5.8656,6.3487,5.8656,6.3487,61.84,29.06,32.86,37.47,5.8656,6.3487,5.8656,25.02,52.29,55.98,54.37,1.8893,1.7606,7274.048,4.16607,0.0405,0.0429,8.4202,7.3892,17.91,6.94,17.98,20.72,15.27,27.04,29.55,7.53,9.41,3.5782,3.9331,7.0996,10.7576,12.31922,10.7576,10.7576,11.3768,10.2893,10.304,9.07,23.31,26.87,-3.5035,5.9549,1.175,12.928,2.0459,1.9882,35.8159,36.5633,0.2254,0.232,2.25,8.17,11.99,5.22,32.6169,35.2901,9.45,10.13,,,,40.2,42.79,6.77,13.78,14.93,1.5901,2.3369,1.9171,1.7873,32.0374,2023-07-28,0.6938,34.813,27.5459,-24.11,74.0697,76.5764,6.956,11.3768,10.7576,0.6439,0.6029,11.162,9979.183,5.8656,6.3487,7.4521,10.93,7.16,16.114,5.2,22.02,23.507269
CABO,0.0681,4.6256,-4.0264,0.06101,1464.2,2022-08-04,602.7,2023-06-01,-49.8938,-2.5576,0.2468,0.2464,1.4686126,304.8855,305.7216,20.77,,56.1818,80.71788,37.3135,35.567,1.6112,23.8235,25.6946,1.42,1.7458,11.44,,11.2179,,1.5789692,11.3,138.7725,16.29,13.42,37.0783,19.0301,37.0783,19.0301,5.77,-2.12,-64.78,-68.89,37.0783,19.0301,37.0783,17.43,68.93,72.4,73.41,2.1324,2.1716,4101.9243,10.63189,0.0748,0.0383,2.0292,3.2826,-10.95,17.1,13.72,13.61,29.82,31.59,31.31,28.3,17.97,2.3524,2.3079,5.7684,11.1237,19.09845,11.1237,11.1237,17.5208,12.6624,13.6569,22.28,22.0,22.81,-5.7663,-21.2326,2.6039,-17.6864,2.4043,2.4112,40.0607,47.0104,0.5447,0.5432,13.46,12.19,-1.13,0.59,270.1936,277.5862,9.91,3.39,,,,13.320000000000002,19.72,6.6,4.2,6.460000000000001,36.1833,55.5,2.1718,2.1911,1.423,2023-07-28,1.2139,61.8208,33.1336,,,,52.6939,17.5208,11.1237,1.3874,11.2862,140.9957,7717.5123,37.0783,19.0301,5.5579,5.33,18.21,-66.4253,5.44,18.48,37.622437
