symbol,date,unix_time,open,close,high,low,volume
AAPL,2023-06-09,1686268800,181.5,180.96,182.23,180.6391,47304520
AAPL,2023-06-08,1686182400,177.895,180.57,180.84,177.46,50214881
AAPL,2023-06-07,1686096000,178.44,177.82,181.21,177.32,61944615
AAPL,2023-06-06,1686009600,179.965,179.21,180.12,177.43,64848374
AAPL,2023-06-05,1685923200,182.63,179.58,184.951,178.035,121946497
AAPL,2023-06-02,1685664000,181.03,180.95,181.78,179.26,61996913
AAPL,2023-06-01,1685577600,177.7,180.09,180.12,176.9306,68901809
AAPL,2023-05-31,1685491200,177.325,177.25,179.35,176.76,99625288
AAPL,2023-05-30,1685404800,176.96,177.3,178.99,176.57,55964401
AAPL,2023-05-26,1685059200,173.32,175.43,175.77,173.11,54834975
AAPL,2023-05-25,1684972800,172.41,172.99,173.895,171.69,56058258
AAPL,2023-05-24,1684886400,171.09,171.84,172.4183,170.52,45143488
AAPL,2023-05-23,1684800000,173.13,171.56,173.3794,171.275,50747263
AAPL,2023-05-22,1684713600,173.98,174.2,174.71,173.45,43570932
AAPL,2023-05-19,1684454400,176.39,175.16,176.39,174.94,55809475
AAPL,2023-05-18,1684368000,173.0,175.05,175.24,172.58,65496657
AAPL,2023-05-17,1684281600,171.71,172.69,172.925,170.4201,57951604
AAPL,2023-05-16,1684195200,171.99,172.07,173.1383,171.7991,42110293
AAPL,2023-05-15,1684108800,173.16,172.07,173.21,171.47,37266659
AAPL,2023-05-12,1683849600,173.62,172.57,174.06,171.0,45533138
AAPL,2023-05-11,1683763200,173.85,173.75,174.59,172.17,49514676
AAPL,2023-05-10,1683676800,173.02,173.555,174.03,171.9,53724501
AAPL,2023-05-09,1683590400,173.05,171.77,173.54,171.6,45326874
AAPL,2023-05-08,1683504000,172.48,173.5,173.85,172.11,55962793
AAPL,2023-05-05,1683244800,170.975,173.57,174.3,170.76,113453171
AAPL,2023-05-04,1683158400,164.89,165.79,167.04,164.31,81235427
AAPL,2023-05-03,1683072000,169.5,167.45,170.92,167.16,65136018
AAPL,2023-05-02,1682985600,170.09,168.54,170.35,167.54,48425696
AAPL,2023-05-01,1682899200,169.28,169.59,170.45,168.64,52472936
AAPL,2023-04-28,1682640000,168.49,169.68,169.85,167.8801,55275851
