symbol,year,month,change,mspr
AAPL,2023,5,-6992,-100.0
AAPL,2023,5,-75634,-100.0
AAPL,2023,4,-657849,-33.200634
AAPL,2023,3,12964,100.0
AAPL,2023,3,14816,100.0
AAPL,2023,3,-172914,-85.37024
AAPL,2023,2,-1685,-5.882353
AAPL,2022,11,-20200,-100.0
AAPL,2022,10,-1297681,-30.30565
AAPL,2022,9,814342,100.0
AAPL,2022,8,-250366,-79.69429
AAPL,2022,5,-26276,-100.0
AAPL,2022,4,161963,15.008345
AAPL,2022,4,-458595,-26.980762
AAPL,2022,3,13480,100.0
AAPL,2022,2,-14048,-32.804035
AAPL,2022,2,-28436,-49.702858
AAPL,2021,11,-36005,-100.0
AAPL,2021,11,-35519,-97.33633
AAPL,2021,10,174834,7.144071
AAPL,2021,10,-1136213,-30.232044
AAPL,2021,9,1070317,100.0
AAPL,2021,8,-87000,-0.85037404
AAPL,2021,8,-5158896,-33.712353
AAPL,2021,5,-4010,-100.0
AAPL,2021,5,-142082,-100.0
AAPL,2021,4,10104,9.817525
AAPL,2021,4,-470506,-27.180288
AAPL,2021,2,361,0.8763625
AAPL,2021,2,-6514,-8.585512
AAPL,2021,1,281,100.0
AAPL,2020,12,-408,-100.0
AAPL,2020,11,9956,9.481544
AAPL,2020,11,-47524,-29.248419
AAPL,2020,10,232360,8.407655
AAPL,2020,10,-1358556,-29.957424
AAPL,2020,9,1398299,100.0
AAPL,2020,8,-10715,-0.94763047
AAPL,2020,8,-570715,-33.755836
AAPL,2020,5,-4491,-100.0
AAPL,2020,4,9590,100.0
AAPL,2020,4,-190335,-31.864456
AAPL,2020,2,3695,15.590059
AAPL,2020,1,0,0.0
AAPL,2019,12,-6880,-100.0
AAPL,2019,11,6999,7.250671
AAPL,2019,11,-44765,-30.18686
AAPL,2019,10,-337,-0.058170345
AAPL,2019,10,-289835,-33.35919
AAPL,2019,9,374740,100.0
AAPL,2019,8,-624253,-34.408268
AAPL,2019,5,-91411,-56.632446
AAPL,2019,4,-167757,-25.76394
AAPL,2019,3,10003,100.0
AAPL,2019,2,9126,75.0
AAPL,2019,2,45852,64.46225
AAPL,2019,1,35000,100.0
AAPL,2019,1,0,0.0
AAPL,2018,11,3944,15.904509
AAPL,2018,11,-10427,-26.620543
AAPL,2018,10,-32532,-3.9228265
AAPL,2018,10,-430916,-35.09991
AAPL,2018,9,363252,100.0
AAPL,2018,8,-100448,-7.775829
AAPL,2018,7,-15652,-100.0
AAPL,2018,6,0,0.0
AAPL,2018,6,-13132,-33.333332
AAPL,2018,5,-49623,-41.482826
AAPL,2018,5,-84623,-54.7286
AAPL,2018,4,76042,12.042976
AAPL,2018,4,-208199,-22.737514
AAPL,2018,2,45950,92.64113
AAPL,2018,2,8593,7.840257
AAPL,2018,1,-15641,-100.0
AAPL,2017,8,-117023,-8.944162
AAPL,2017,8,-712698,-37.430676
AAPL,2017,7,-11949,-100.0
AAPL,2017,3,0,0.0
AAPL,2017,3,-33328,-33.333332
AAPL,2017,2,-374155,-49.86905
AAPL,2017,2,-552348,-57.81521
AAPL,2017,1,-114010,-100.0
AAPL,2017,1,-124952,-100.0
AAPL,2016,12,-18565,-100.0
AAPL,2016,11,-393363,-100.0
AAPL,2016,10,177333,14.863251
AAPL,2016,10,513267,24.982588
AAPL,2016,6,-32813,-19.986599
AAPL,2016,5,-349160,-51.74795
AAPL,2016,4,-215505,-21.876837
AAPL,2016,3,537288,25.585142
