symbol,share,change,transactionDate,transactionCode,transactionPrice,name,filingDate,id
AAPL,0,-68642,2023-05-16,G,0.0,JUNG ANDREA,2023-05-18,0000320193-23-000070
AAPL,422313,-2900,2023-05-10,G,0.0,Adams Katherine L.,2023-05-12,0000320193-23-000068
AAPL,33946,-4092,2023-05-08,S,173.26,KONDO CHRIS,2023-05-10,0000320193-23-000066
AAPL,14542,-2078,2023-04-15,M,0.0,KONDO CHRIS,2023-04-18,0000320193-23-000057
AAPL,9571,-1915,2023-04-15,M,0.0,KONDO CHRIS,2023-04-18,0000320193-23-000057
AAPL,6679,-2227,2023-04-15,M,0.0,KONDO CHRIS,2023-04-18,0000320193-23-000057
AAPL,4568,-4572,2023-04-15,M,0.0,KONDO CHRIS,2023-04-18,0000320193-23-000057
AAPL,38038,-4384,2023-04-15,F,165.21,KONDO CHRIS,2023-04-18,0000320193-23-000057
AAPL,42422,10792,2023-04-15,M,0.0,KONDO CHRIS,2023-04-18,0000320193-23-000057
AAPL,107661,-69996,2023-04-13,S,165.25,Maestri Luca,2023-04-17,0000320193-23-000055
AAPL,177657,-200,2023-04-06,S,164.92,Maestri Luca,2023-04-10,0000320193-23-000053
AAPL,489816,-387,2023-04-04,S,166.62,WILLIAMS JEFFREY E,2023-04-04,0000320193-23-000051
AAPL,490203,-77430,2023-04-04,S,166.11,WILLIAMS JEFFREY E,2023-04-04,0000320193-23-000051
AAPL,136444,-25958,2023-04-03,S,165.87,O'BRIEN DEIRDRE,2023-04-04,0000320193-23-000050
AAPL,162402,-17664,2023-04-03,S,164.73,O'BRIEN DEIRDRE,2023-04-04,0000320193-23-000050
AAPL,177857,-2464,2023-04-03,G,0.0,Maestri Luca,2023-04-04,0000320193-23-000049
AAPL,425213,-38818,2023-04-03,S,165.81,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,464031,-33407,2023-04-03,S,164.71,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,3280052,-29449,2023-04-03,S,165.62,COOK TIMOTHY D,2023-04-04,0000320193-23-000048
AAPL,3309501,-26623,2023-04-03,S,164.67,COOK TIMOTHY D,2023-04-04,0000320193-23-000048
AAPL,59376,-29688,2023-04-01,M,0.0,O'BRIEN DEIRDRE,2023-04-04,0000320193-23-000050
AAPL,60932,-60932,2023-04-01,M,0.0,O'BRIEN DEIRDRE,2023-04-04,0000320193-23-000050
AAPL,180066,-46998,2023-04-01,F,164.9,O'BRIEN DEIRDRE,2023-04-04,0000320193-23-000050
AAPL,227064,90620,2023-04-01,M,0.0,O'BRIEN DEIRDRE,2023-04-04,0000320193-23-000050
AAPL,59376,-29688,2023-04-01,M,0.0,Maestri Luca,2023-04-04,0000320193-23-000049
AAPL,60932,-60932,2023-04-01,M,0.0,Maestri Luca,2023-04-04,0000320193-23-000049
AAPL,0,-59064,2023-04-01,M,0.0,Maestri Luca,2023-04-04,0000320193-23-000049
AAPL,180321,-79488,2023-04-01,F,164.9,Maestri Luca,2023-04-04,0000320193-23-000049
AAPL,259809,149684,2023-04-01,M,0.0,Maestri Luca,2023-04-04,0000320193-23-000049
AAPL,59376,-29688,2023-04-01,M,0.0,WILLIAMS JEFFREY E,2023-04-04,0000320193-23-000051
AAPL,60932,-60932,2023-04-01,M,0.0,WILLIAMS JEFFREY E,2023-04-04,0000320193-23-000051
AAPL,0,-59064,2023-04-01,M,0.0,WILLIAMS JEFFREY E,2023-04-04,0000320193-23-000051
AAPL,567633,-71867,2023-04-01,F,164.9,WILLIAMS JEFFREY E,2023-04-04,0000320193-23-000051
AAPL,639500,149684,2023-04-01,M,0.0,WILLIAMS JEFFREY E,2023-04-04,0000320193-23-000051
AAPL,59376,-29688,2023-04-01,M,0.0,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,60932,-60932,2023-04-01,M,0.0,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,0,-59064,2023-04-01,M,0.0,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,497438,-77459,2023-04-01,F,164.9,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,574897,149684,2023-04-01,M,0.0,Adams Katherine L.,2023-04-04,0000320193-23-000047
AAPL,222658,-111329,2023-04-01,M,0.0,COOK TIMOTHY D,2023-04-04,0000320193-23-000048
AAPL,3336124,-55257,2023-04-01,F,164.9,COOK TIMOTHY D,2023-04-04,0000320193-23-000048
AAPL,3391381,111329,2023-04-01,M,0.0,COOK TIMOTHY D,2023-04-04,0000320193-23-000048
AAPL,489816,-187730,2023-03-22,S,159.76,WILLIAMS JEFFREY E,2023-03-24,0000320193-23-000040
AAPL,1852,1852,2023-03-10,A,0.0,WAGNER SUSAN,2023-03-14,0000320193-23-000038
AAPL,1852,1852,2023-03-10,A,0.0,SUGAR RONALD D,2023-03-14,0000320193-23-000037
AAPL,1852,1852,2023-03-10,A,0.0,LEVINSON ARTHUR D,2023-03-14,0000320193-23-000035
AAPL,1852,1852,2023-03-10,A,0.0,JUNG ANDREA,2023-03-14,0000320193-23-000034
AAPL,1852,1852,2023-03-10,A,0.0,Gorsky Alex,2023-03-14,0000320193-23-000033
AAPL,1852,1852,2023-03-10,A,0.0,GORE ALBERT JR,2023-03-14,0000320193-23-000032
AAPL,1852,1852,2023-03-10,A,0.0,BELL JAMES A,2023-03-14,0000320193-23-000031
AAPL,1852,1852,2023-03-10,A,0.0,LOZANO MONICA C,2023-03-14,0000320193-23-000036
AAPL,4532724,-1685,2023-02-03,G,0.0,LEVINSON ARTHUR D,2023-02-03,0000320193-23-000019
AAPL,0,-1685,2023-02-01,M,0.0,WAGNER SUSAN,2023-02-03,0000320193-23-000022
AAPL,59123,1685,2023-02-01,M,0.0,WAGNER SUSAN,2023-02-03,0000320193-23-000022
AAPL,0,-1685,2023-02-01,M,0.0,SUGAR RONALD D,2023-02-03,0000320193-23-000021
AAPL,105943,1685,2023-02-01,M,0.0,SUGAR RONALD D,2023-02-03,0000320193-23-000021
AAPL,0,-1685,2023-02-01,M,0.0,LOZANO MONICA C,2023-02-03,0000320193-23-000020
AAPL,5239,1685,2023-02-01,M,0.0,LOZANO MONICA C,2023-02-03,0000320193-23-000020
AAPL,0,-1685,2023-02-01,M,0.0,LEVINSON ARTHUR D,2023-02-03,0000320193-23-000019
AAPL,4534409,1685,2023-02-01,M,0.0,LEVINSON ARTHUR D,2023-02-03,0000320193-23-000019
AAPL,0,-1685,2023-02-01,M,0.0,JUNG ANDREA,2023-02-03,0000320193-23-000018
AAPL,49937,1685,2023-02-01,M,0.0,JUNG ANDREA,2023-02-03,0000320193-23-000018
