symbol,period,strongBuy,buy,hold,sell,strongSell
AAPL,2023-07-01,13,23,11,1,0
AAPL,2023-06-01,12,27,8,1,0
AAPL,2023-05-01,12,27,8,1,0
AAPL,2023-04-01,12,27,8,1,0
AAPL,2023-03-01,13,26,8,1,0
AAPL,2023-02-01,13,25,8,1,0
AAPL,2023-01-01,13,26,7,1,0
AAPL,2022-12-01,13,28,7,1,0
AAPL,2022-11-01,14,29,6,1,0
AAPL,2022-10-01,14,29,6,1,0
AAPL,2022-09-01,16,29,7,1,0
AMC,2023-07-01,0,0,5,7,3
AMC,2023-06-01,0,0,5,7,3
AMC,2023-05-01,0,0,5,7,3
AMC,2023-04-01,0,0,5,7,3
AMC,2023-03-01,0,0,5,7,2
AMC,2023-02-01,0,0,5,7,2
AMC,2023-01-01,0,0,5,7,2
AMC,2022-12-01,0,0,5,7,3
AMC,2022-11-01,0,0,5,7,3
AMC,2022-10-01,0,0,5,7,3
AMC,2022-09-01,0,0,5,7,3
AMD,2023-07-01,11,20,14,1,0
AMD,2023-06-01,11,19,14,1,0
AMD,2023-05-01,12,18,15,0,0
AMD,2023-04-01,12,20,14,0,0
AMD,2023-03-01,11,20,14,0,0
AMD,2023-02-01,12,22,11,0,0
AMD,2023-01-01,14,20,12,0,0
AMD,2022-12-01,14,21,13,0,0
AMD,2022-11-01,12,19,15,0,0
AMD,2022-10-01,12,20,13,0,0
AMD,2022-09-01,12,21,13,0,0
AMZN,2023-07-01,19,38,3,1,0
AMZN,2023-06-01,19,34,4,1,0
AMZN,2023-05-01,18,34,5,1,0
AMZN,2023-04-01,18,35,5,1,0
AMZN,2023-03-01,18,35,5,1,0
AMZN,2023-02-01,19,33,4,1,0
AMZN,2023-01-01,19,34,4,1,0
AMZN,2022-12-01,19,35,3,1,0
AMZN,2022-11-01,20,34,4,1,0
AMZN,2022-10-01,21,34,4,1,0
AMZN,2022-09-01,22,36,4,1,0
ANGI,2023-07-01,3,10,5,0,0
ANGI,2023-06-01,3,10,5,0,0
ANGI,2023-05-01,3,10,5,0,0
ANGI,2023-04-01,3,10,5,0,0
ANGI,2023-03-01,3,10,5,0,0
ANGI,2023-02-01,4,10,4,1,0
ANGI,2023-01-01,4,10,4,1,0
ANGI,2022-12-01,3,10,4,0,0
ANGI,2022-11-01,3,10,4,0,0
ATUS,2023-07-01,3,8,18,2,0
ATUS,2023-06-01,3,8,18,2,0
ATUS,2023-05-01,3,8,17,2,0
ATUS,2023-04-01,3,9,17,2,0
ATUS,2023-03-01,3,9,19,2,0
ATUS,2023-02-01,3,8,20,2,0
ATUS,2023-01-01,3,10,19,1,0
ATUS,2022-12-01,3,11,19,0,0
ATUS,2022-11-01,4,10,19,0,0
BAC,2023-07-01,3,15,11,2,0
BAC,2023-06-01,3,15,11,2,0
BAC,2023-05-01,3,15,11,2,0
BAC,2023-04-01,3,15,11,2,0
BAC,2023-03-01,3,16,10,2,0
BAC,2023-02-01,3,16,11,1,0
BAC,2023-01-01,3,17,12,0,0
BAC,2022-12-01,3,17,11,0,0
BAC,2022-11-01,4,17,10,0,0
BAC,2022-10-01,4,17,10,0,0
BAC,2022-09-01,4,17,10,0,0
BMBL,2023-07-01,6,12,9,0,0
BMBL,2023-06-01,7,12,9,0,0
BMBL,2023-05-01,7,12,9,0,0
BMBL,2023-04-01,6,12,10,0,0
BMBL,2023-03-01,5,12,10,0,0
BMBL,2023-02-01,5,12,10,0,0
BMBL,2023-01-01,5,11,11,0,0
BMBL,2022-12-01,4,11,10,0,0
BMBL,2022-11-01,4,11,10,0,0
BYD,2023-07-01,4,11,5,1,0
BYD,2023-06-01,4,11,5,1,0
BYD,2023-05-01,4,10,6,1,0
BYD,2023-04-01,4,10,6,1,0
BYD,2023-03-01,4,10,6,1,0
BYD,2023-02-01,4,10,6,1,0
BYD,2023-01-01,4,8,5,1,0
BYD,2022-12-01,4,9,4,1,0
BYD,2022-11-01,4,9,4,0,0
CABO,2023-07-01,2,5,4,1,0
CABO,2023-06-01,2,5,4,1,0
CABO,2023-05-01,2,5,4,1,0
CABO,2023-04-01,2,5,4,1,0
CABO,2023-03-01,2,6,4,1,0
CABO,2023-02-01,2,6,4,0,0
CABO,2023-01-01,2,6,4,0,0
CABO,2022-12-01,2,7,4,0,0
CABO,2022-11-01,2,6,5,0,0
CHDN,2023-07-01,4,8,1,0,0
CHDN,2023-06-01,4,8,1,0,0
CHDN,2023-05-01,4,8,2,0,0
CHDN,2023-04-01,4,8,2,0,0
CHDN,2023-03-01,4,7,2,0,0
CHDN,2023-02-01,4,7,2,0,0
CHDN,2023-01-01,4,6,2,0,0
CHDN,2022-12-01,4,6,1,0,0
CHDN,2022-11-01,4,5,1,0,0
CHTR,2023-07-01,3,14,16,1,0
CHTR,2023-06-01,3,14,16,1,0
CHTR,2023-05-01,3,14,16,1,0
CHTR,2023-04-01,3,15,15,1,0
CHTR,2023-03-01,3,16,15,1,0
CHTR,2023-02-01,3,16,16,1,0
CHTR,2023-01-01,3,15,17,1,0
CHTR,2022-12-01,3,16,15,2,0
CHTR,2022-11-01,3,16,15,2,0
CMCSA,2023-07-01,8,20,12,1,1
CMCSA,2023-06-01,8,20,12,1,1
CMCSA,2023-05-01,7,20,13,1,1
CMCSA,2023-04-01,7,19,15,1,1
CMCSA,2023-03-01,7,20,15,1,1
CMCSA,2023-02-01,8,21,13,1,1
CMCSA,2023-01-01,8,20,14,1,1
CMCSA,2022-12-01,8,20,14,2,1
CMCSA,2022-11-01,8,20,14,2,1
CMCSA,2022-10-01,7,21,15,2,1
CMCSA,2022-09-01,7,21,15,2,1
CRM,2023-07-01,12,25,15,0,1
CRM,2023-06-01,12,27,14,0,1
CRM,2023-05-01,12,26,15,0,1
CRM,2023-04-01,12,27,15,0,1
CRM,2023-03-01,13,26,14,0,1
CRM,2023-02-01,13,26,14,0,1
CRM,2023-01-01,13,28,13,0,0
CRM,2022-12-01,14,29,11,0,0
CRM,2022-11-01,15,29,10,0,0
CRM,2022-10-01,15,30,10,0,0
CRM,2022-09-01,17,30,7,0,1
CVX,2023-07-01,4,13,13,0,0
CVX,2023-06-01,4,13,14,1,0
CVX,2023-05-01,4,12,15,2,0
CVX,2023-04-01,4,12,15,3,0
CVX,2023-03-01,4,12,15,3,0
CVX,2023-02-01,4,12,15,3,0
CVX,2023-01-01,6,13,12,3,0
CVX,2022-12-01,6,13,13,2,0
CVX,2022-11-01,6,14,13,1,0
CVX,2022-10-01,6,15,12,1,0
CVX,2022-09-01,6,15,12,1,0
CZR,2023-07-01,3,11,5,0,0
CZR,2023-06-01,3,11,5,0,0
CZR,2023-05-01,3,11,4,1,0
CZR,2023-04-01,3,11,4,1,0
CZR,2023-03-01,3,11,4,1,0
CZR,2023-02-01,3,11,4,1,0
CZR,2023-01-01,3,11,4,1,0
CZR,2022-12-01,4,11,3,1,0
CZR,2022-11-01,4,12,1,1,0
DG,2023-07-01,10,13,14,2,0
DG,2023-06-01,10,18,9,2,0
DG,2023-05-01,10,18,9,2,0
DG,2023-04-01,9,18,10,2,0
DG,2023-03-01,9,19,9,2,0
DG,2023-02-01,10,16,9,2,0
DG,2023-01-01,10,17,9,2,0
DG,2022-12-01,10,17,7,2,0
DG,2022-11-01,10,17,7,2,0
DG,2022-10-01,10,17,7,2,0
DG,2022-09-01,10,17,7,2,0
DIS,2023-07-01,7,19,9,1,0
DIS,2023-06-01,7,20,9,0,0
DIS,2023-05-01,8,21,7,0,0
DIS,2023-04-01,8,22,7,0,0
DIS,2023-03-01,8,22,7,0,0
DIS,2023-02-01,8,19,7,0,0
DIS,2023-01-01,8,19,7,0,0
DIS,2022-12-01,8,19,7,0,0
DIS,2022-11-01,8,19,7,0,0
DISH,2023-07-01,4,6,11,2,1
DISH,2023-06-01,4,6,10,2,1
DISH,2023-05-01,5,7,9,3,0
DISH,2023-04-01,5,7,9,3,0
DISH,2023-03-01,5,9,6,3,0
DISH,2023-02-01,6,9,7,2,0
DISH,2023-01-01,6,9,6,2,0
DISH,2022-12-01,6,10,6,2,0
DISH,2022-11-01,6,11,6,1,0
DISH,2022-10-01,6,11,6,1,0
DISH,2022-09-01,6,12,6,1,0
DKNG,2023-07-01,9,15,14,2,0
DKNG,2023-06-01,9,15,13,2,0
DKNG,2023-05-01,9,15,14,2,0
DKNG,2023-04-01,9,15,13,3,0
DKNG,2023-03-01,8,15,14,3,0
DKNG,2023-02-01,7,15,16,2,0
DKNG,2023-01-01,7,15,15,2,0
DKNG,2022-12-01,7,16,14,2,0
DKNG,2022-11-01,7,15,15,1,0
EA,2023-07-01,11,14,13,0,0
EA,2023-06-01,11,14,14,0,0
EA,2023-05-01,10,14,15,0,0
EA,2023-04-01,10,15,14,0,0
EA,2023-03-01,10,15,14,0,0
EA,2023-02-01,12,18,11,0,0
EA,2023-01-01,12,18,11,0,0
EA,2022-12-01,12,18,11,0,0
EA,2022-11-01,12,18,11,0,0
EA,2022-10-01,12,18,11,0,0
EA,2022-09-01,12,21,9,0,0
EFX,2023-07-01,5,9,11,1,0
EFX,2023-06-01,5,9,11,1,0
EFX,2023-05-01,5,9,11,1,0
EFX,2023-04-01,5,9,11,1,0
EFX,2023-03-01,5,9,10,1,0
EFX,2023-02-01,5,9,10,1,0
EFX,2023-01-01,5,9,10,0,0
EFX,2022-12-01,5,9,10,0,0
EFX,2022-11-01,5,8,11,0,0
EFX,2022-10-01,6,9,9,0,0
EFX,2022-09-01,6,9,9,0,0
F,2023-07-01,6,8,10,4,1
F,2023-06-01,5,8,11,4,1
F,2023-05-01,4,8,12,5,1
F,2023-04-01,4,9,12,4,1
F,2023-03-01,4,9,12,4,1
F,2023-02-01,5,9,11,3,1
F,2023-01-01,5,8,12,3,1
F,2022-12-01,5,8,12,3,1
F,2022-11-01,5,8,12,3,1
F,2022-10-01,5,7,14,2,1
F,2022-09-01,5,7,14,2,1
FUBO,2023-07-01,3,4,6,1,0
FUBO,2023-06-01,3,4,6,1,0
FUBO,2023-05-01,3,4,6,1,0
FUBO,2023-04-01,3,5,5,1,0
FUBO,2023-03-01,3,5,5,1,0
FUBO,2023-02-01,3,5,5,1,0
FUBO,2023-01-01,3,5,5,1,0
FUBO,2022-12-01,3,5,5,1,0
FUBO,2022-11-01,3,5,5,1,0
GME,2023-07-01,0,0,3,4,2
GME,2023-06-01,0,0,3,4,2
GME,2023-05-01,0,0,3,4,2
GME,2023-04-01,0,0,3,4,2
GME,2023-03-01,0,0,3,4,2
GME,2023-02-01,0,0,3,4,2
GME,2023-01-01,0,0,3,4,2
GME,2022-12-01,0,0,3,4,2
GME,2022-11-01,0,0,3,4,2
GME,2022-10-01,0,0,3,4,2
GME,2022-09-01,0,0,3,4,2
GOOGL,2023-07-01,18,30,9,0,0
GOOGL,2023-06-01,19,33,5,0,0
GOOGL,2023-05-01,19,32,5,0,0
GOOGL,2023-04-01,20,33,6,0,0
GOOGL,2023-03-01,19,32,7,0,0
GOOGL,2023-02-01,16,35,5,0,0
GOOGL,2023-01-01,16,35,5,0,0
GOOGL,2022-12-01,16,35,5,0,0
GOOGL,2022-11-01,16,34,5,0,0
GOOGL,2022-10-01,17,35,5,0,0
GOOGL,2022-09-01,18,37,4,0,0
HD,2023-07-01,12,17,16,1,1
HD,2023-06-01,12,17,16,1,1
HD,2023-05-01,12,18,15,1,1
HD,2023-04-01,12,18,15,1,1
HD,2023-03-01,12,18,15,1,1
HD,2023-02-01,12,17,14,1,1
HD,2023-01-01,12,17,15,0,1
HD,2022-12-01,12,19,12,0,1
HD,2022-11-01,12,20,11,0,1
HD,2022-10-01,12,20,10,0,1
