year,symbol,name,description,country,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
2022,AAPL,APPLE INC,,US,Q1,https://lda.senate.gov/filings/public/filing/7081db47-fc7f-4c5a-a7de-f7e5d2b103b3/print/,,2500000.0,,,103979,4152,4152-103979,31450.0
2022,AAPL,APPLE INC,,US,Q2,https://lda.senate.gov/filings/public/filing/a392ddf9-2fec-4925-8251-5e03df659783/print/,,1900000.0,,,103979,4152,4152-103979,31450.0
2022,AAPL,APPLE INC,,US,Q3,https://lda.senate.gov/filings/public/filing/df875251-699a-4e44-b7c6-e3ad48d23a17/print/,,1920000.0,,,103979,4152,4152-103979,31450.0
2022,AAPL,APPLE INC,,US,Q4,https://lda.senate.gov/filings/public/filing/9b97b4b5-7f40-4c47-a3ae-39e00c2336a6/print/,,2870000.0,,,103979,4152,4152-103979,31450.0
2022,AAPL,APPLE,,US,Q1,https://lda.senate.gov/filings/public/filing/24cd3333-b0dd-4110-b466-8930e66fadfe/print/,90000.0,,,,162939,65976,65976-162939,35617.0
2022,AAPL,APPLE,,US,Q2,https://lda.senate.gov/filings/public/filing/0e023a21-2855-427b-a2f2-9920656c498b/print/,90000.0,,,,162939,65976,65976-162939,35617.0
2022,AAPL,APPLE,,US,Q3,https://lda.senate.gov/filings/public/filing/f735dded-1e6c-4821-a15c-dbce4601182c/print/,90000.0,,,,162939,65976,65976-162939,35617.0
2022,AAPL,APPLE,,US,Q4,https://lda.senate.gov/filings/public/filing/3aeb3817-47a5-43f1-be21-6cdfcce480d8/print/,90000.0,,,,162939,65976,65976-162939,35617.0
2022,AAPL,"APPLE, INC.",Hardware and software maunfacturer,US,Q1,https://lda.senate.gov/filings/public/filing/be5c455c-330d-4bb6-a3a8-d4ce688a3a69/print/,40000.0,,,,173094,86196,86196-173094,36548.0
2022,AAPL,"APPLE, INC.",Hardware and software maunfacturer,US,Q2,https://lda.senate.gov/filings/public/filing/dcb7dfc9-2816-4d63-9b0f-395ebfa5bcf8/print/,40000.0,,,,173094,86196,86196-173094,36548.0
2022,AAPL,"APPLE, INC.",Hardware and software maunfacturer,US,Q3,https://lda.senate.gov/filings/public/filing/b4fc9604-9376-4963-876e-d5c4a9160bba/print/,40000.0,,,,173094,86196,86196-173094,36548.0
2022,AAPL,"APPLE, INC.",Hardware and software maunfacturer,US,Q4,https://lda.senate.gov/filings/public/filing/c4e4dac3-ada3-4bf9-8e41-b7f45dfe77b4/print/,40000.0,,,,173094,86196,86196-173094,36548.0
2022,AAPL,APPLE INC.,"Consumer electronics, software, and online services.",US,Q1,https://lda.senate.gov/filings/public/filing/394b7ff4-a683-4834-b491-b72a11f9cf4b/print/,120000.0,,,,184947,314237,314237-184947,39145.0
