symbol,period,actual,estimate,surprise,surprisePercent
AAPL,2023-06-30,1.52,1.4623,0.0577,3.9458
AAPL,2023-03-31,1.88,1.9744,-0.0944,-4.7812
AAPL,2022-12-31,1.29,1.2957,-0.0057,-0.4399
AAPL,2022-09-30,1.2,1.1855,0.0145,1.2231
AAPL,2022-06-30,1.52,1.4566,0.0634,4.3526
AAPL,2022-03-31,2.1,1.9268,0.1732,8.989
AMC,2023-03-31,-0.09,-0.1568,0.0668,42.602
AMC,2022-12-31,-0.26,-0.2094,-0.0506,-24.1643
AMC,2022-09-30,-0.22,-0.2577,0.0377,14.6294
AMC,2022-06-30,-0.24,-0.2121,-0.0279,-13.1542
AMC,2022-03-31,-0.52,-0.6398,0.1198,18.7246
AMC,2021-12-31,-0.26,-0.2627,0.0027,1.0278
AMD,2023-03-31,0.6,0.5697,0.0303,5.3186
AMD,2022-12-31,0.69,0.6748,0.0152,2.2525
AMD,2022-09-30,0.67,0.6915,-0.0215,-3.1092
AMD,2022-06-30,1.05,1.0436,0.0064,0.6133
AMD,2022-03-31,1.13,0.9191,0.2109,22.9464
AMD,2021-12-31,0.92,0.7657,0.1543,20.1515
AMZN,2023-03-31,0.31,0.216,0.094,43.5185
AMZN,2022-12-31,0.25,0.1789,0.0711,39.7429
AMZN,2022-09-30,0.17,0.2197,-0.0497,-22.6218
AMZN,2022-06-30,0.18,0.147,0.033,22.449
AMZN,2022-03-31,0.369,0.4262,-0.0572,-13.4209
AMZN,2021-12-31,0.29,0.182,0.108,59.3407
ANGI,2023-03-31,-0.03,-0.0603,0.0303,50.2488
ANGI,2022-12-31,-0.06,-0.0397,-0.0203,-51.1335
ANGI,2022-09-30,-0.03,-0.0351,0.0051,14.5299
ANGI,2022-06-30,-0.05,-0.0597,0.0097,16.2479
ANGI,2022-03-31,-0.07,-0.0631,-0.0069,-10.935
ATUS,2023-03-31,0.06,0.0446,0.0154,34.5291
ATUS,2022-12-31,-0.43,0.2097,-0.6397,-305.0548
ATUS,2022-09-30,0.19,0.3619,-0.1719,-47.4993
ATUS,2022-06-30,0.23,0.326,-0.096,-29.4479
ATUS,2022-03-31,0.43,0.3212,0.1088,33.873
ATUS,2021-12-31,0.56,0.5075,0.0525,10.3448
BAC,2023-06-30,0.88,0.8598,0.0202,2.3494
BAC,2023-03-31,0.94,0.8247,0.1153,13.9808
BAC,2022-12-31,0.85,0.7753,0.0747,9.635
BAC,2022-09-30,0.81,0.7805,0.0295,3.7796
BAC,2022-06-30,0.78,0.7541,0.0259,3.4346
BAC,2022-03-31,0.8,0.756,0.044,5.8201
BAC,2021-12-31,0.82,0.768,0.052,6.7708
BMBL,2023-03-31,-0.01,-0.0007,-0.0093,-1328.5714
BMBL,2022-12-31,-0.85,0.0014,-0.8514,-60814.2857
BMBL,2022-09-30,0.14,0.0116,0.1284,1106.8966
BMBL,2022-06-30,-0.03,-0.0148,-0.0152,-102.7027
BMBL,2022-03-31,0.13,-0.0332,0.1632,491.5663
BMBL,2021-12-31,0.13,-0.0043,0.1343,3123.2558
BYD,2023-06-30,1.58,1.6981,-0.1181,-6.9548
BYD,2023-03-31,1.71,1.5074,0.2026,13.4404
BYD,2022-12-31,1.72,1.4699,0.2501,17.0148
BYD,2022-09-30,1.48,1.3299,0.1501,11.2866
BYD,2022-06-30,1.48,1.393,0.087,6.2455
BYD,2022-03-31,1.4,1.2387,0.1613,13.0217
CABO,2023-03-31,9.62,13.6835,-4.0635,-29.6963
CABO,2022-12-31,-13.38,12.2672,-25.6472,-209.0713
CABO,2022-09-30,11.53,12.7107,-1.1807,-9.289
CABO,2022-06-30,11.11,13.3943,-2.2843,-17.0543
CABO,2022-03-31,13.61,11.7052,1.9048,16.2731
CABO,2021-12-31,10.54,12.0258,-1.4858,-12.3551
CHDN,2023-06-30,2.24,2.7064,-0.4664,-17.2332
CHDN,2023-03-31,0.98,0.9133,0.0667,7.3032
CHDN,2022-12-31,0.73,0.8495,-0.1195,-14.0671
CHDN,2022-09-30,0.81,0.663,0.147,22.1719
CHDN,2022-06-30,3.9,3.8775,0.0225,0.5803
CHDN,2022-03-31,1.23,1.0863,0.1437,13.2284
CHDN,2021-12-31,1.11,1.1181,-0.0081,-0.7244
CHTR,2023-06-30,8.05,8.14,-0.09,-1.1057
CHTR,2023-03-31,6.65,7.6314,-0.9814,-12.86
CHTR,2022-12-31,7.69,8.9624,-1.2724,-14.1971
CHTR,2022-09-30,7.38,8.3957,-1.0157,-12.0979
CHTR,2022-06-30,8.8,7.0283,1.7717,25.2081
CHTR,2022-03-31,6.9,6.5976,0.3024,4.5835
CMCSA,2023-06-30,1.13,1.0102,0.1198,11.859
CMCSA,2023-03-31,0.92,0.8446,0.0754,8.9273
CMCSA,2022-12-31,0.82,0.794,0.026,3.2746
CMCSA,2022-09-30,0.96,0.9262,0.0338,3.6493
CMCSA,2022-06-30,1.01,0.9429,0.0671,7.1163
CMCSA,2022-03-31,0.86,0.8284,0.0316,3.8146
CMCSA,2021-12-31,0.77,0.7559,0.0141,1.8653
CRM,2024-03-31,1.69,1.6257,0.0643,3.9552
CRM,2023-12-31,1.68,1.3772,0.3028,21.9866
CRM,2023-09-30,1.4,1.2271,0.1729,14.0901
CRM,2023-06-30,1.19,1.0314,0.1586,15.3772
CRM,2023-03-31,0.98,0.9457,0.0343,3.6269
CRM,2022-12-31,0.84,0.7462,0.0938,12.5704
CVX,2023-06-30,3.08,3.0876,-0.0076,-0.2461
CVX,2023-03-31,3.55,3.4413,0.1087,3.1587
CVX,2022-12-31,4.09,4.4251,-0.3351,-7.5727
CVX,2022-09-30,5.56,4.8616,0.6984,14.3656
CVX,2022-06-30,5.82,5.1528,0.6672,12.9483
CVX,2022-03-31,3.36,3.3061,0.0539,1.6303
CVX,2021-12-31,2.56,3.1509,-0.5909,-18.7534
